City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
Comodoro Rivadavia,AR,-45.87,-67.48,1549144800,0,38,73.4,12.75
Avarua,CK,-21.21,-159.78,1549144800,75,78,82.4,4.7
Hermanus,ZA,-34.42,19.24,1549146355,76,96,63.24,2.8
Leningradskaya,RU,46.32,39.39,1549146356,92,100,38.94,6.49
Ushuaia,AR,-54.81,-68.31,1549144800,75,67,59.0,20.8
San Cristobal,EC,-0.39,-78.55,1549144800,40,72,66.2,16.11
Itapecerica,BR,-20.47,-45.13,1549146358,68,31,91.45,3.91
Tallahassee,US,30.44,-84.28,1549145700,75,77,66.92,4.7
Tiksi,RU,71.64,128.87,1549146359,20,0,-37.62,2.91
Dikson,RU,73.51,80.55,1549146359,8,75,-10.71,12.97
Mana,RS,43.52,20.24,1549144800,0,58,53.6,16.11
Sao Joao da Barra,BR,-21.64,-41.05,1549144800,0,74,82.4,20.8
Albany,US,42.65,-73.75,1549144680,90,45,30.02,9.17
San Luis,AR,-33.3,-66.34,1549146363,48,29,84.43,17.67
Puerto Ayora,EC,-0.74,-90.35,1549144800,20,66,84.2,8.05
Sand Springs,US,36.14,-96.11,1549144500,90,70,64.58,8.05
Fortuna,ES,38.18,-1.13,1549144800,0,31,51.8,19.46
Celestun,MX,20.87,-90.4,1549146365,0,93,75.88,12.41
Hithadhoo,MV,-0.6,73.08,1549146366,80,99,83.71,13.98
Port Macquarie,AU,-31.43,152.91,1549141200,88,88,71.6,3.36
Seydi,NE,13.34,7.75,1549146367,0,30,68.41,6.93
Szczecinek,PL,53.71,16.69,1549146367,88,96,35.74,9.51
Provideniya,RU,64.42,-173.23,1549146368,92,94,32.41,37.58
Torbay,CA,47.66,-52.73,1549141200,75,85,17.6,19.46
Cape Town,ZA,-33.93,18.42,1549144800,75,88,66.2,9.17
Salalah,OM,17.01,54.1,1549144200,40,73,75.2,3.36
Guru Har Sahai,IN,30.72,74.42,1549146370,0,86,47.17,3.8
Taywarah,AF,33.35,64.42,1549145924,76,86,23.45,2.57
Gorom-Gorom,BF,14.45,-0.24,1549146371,0,63,70.93,3.13
Ilulissat,GL,69.22,-51.1,1549144200,44,42,28.4,26.4
Atuona,PF,-9.8,-139.03,1549146372,44,100,80.79,18.57
Northam,GB,51.04,-4.21,1549140600,0,69,35.6,9.17
Tuktoyaktuk,CA,69.44,-133.03,1549144800,20,74,-22.01,16.11
Udon Thani,TH,17.4,102.79,1549144800,8,88,66.2,2.8
Kholm,RU,57.15,31.18,1549146374,92,97,34.21,13.98
Castro,CL,-42.48,-73.76,1549144800,0,32,84.2,8.05
Luwuk,ID,-0.95,122.79,1549146375,36,100,77.77,2.57
Bredasdorp,ZA,-34.53,20.04,1549144800,68,82,68.0,6.93
Port Blair,IN,11.67,92.75,1549146209,0,100,81.55,8.16
Tonneins,FR,44.39,0.31,1549144800,0,74,37.4,11.41
Ayan,TR,40.67,33.6,1549146161,20,73,18.77,1.57
Bilma,NE,18.69,12.92,1549146134,0,46,58.96,3.36
Mataura,NZ,-46.19,168.86,1549146378,8,68,60.31,4.36
Sao Filipe,CV,14.9,-24.5,1549146379,100,97,71.15,17.67
Yaan,NG,7.38,8.57,1549146379,36,70,81.73,5.03
Bluff,AU,-23.58,149.07,1549146380,92,87,74.12,17.22
Busselton,AU,-33.64,115.35,1549146381,0,100,59.95,16.55
Rikitea,PF,-23.12,-134.97,1549146381,0,100,80.65,8.61
Turochak,RU,52.26,87.12,1549146382,68,71,-11.07,2.35
Victoria,BN,5.28,115.24,1549144800,75,94,77.0,6.26
Atar,MR,20.52,-13.05,1549145816,0,37,62.74,6.71
Hambantota,LK,6.12,81.12,1549141800,0,94,77.0,5.82
Souillac,FR,45.6,-0.6,1549144800,0,69,37.4,11.41
Qaanaaq,GL,77.48,-69.36,1549146385,0,100,-18.22,7.72
Freeport,BS,26.54,-78.7,1549144800,75,88,73.4,6.93
Kibala,TD,9.11,18.35,1549144800,0,44,80.6,5.7
Tevaitoa,PF,-16.78,-151.5,1549146387,64,100,81.19,15.99
Jamestown,AU,-33.21,138.6,1549146388,0,65,67.29,6.6
Avera,US,33.19,-82.53,1549145700,90,51,66.92,4.7
Butaritari,KI,3.07,172.79,1549146390,8,99,84.61,17.78
Srednekolymsk,RU,67.46,153.71,1549145855,56,67,-9.27,9.28
Barrow,AR,-38.31,-60.23,1549146391,0,62,66.16,13.42
Nyurba,RU,63.29,118.35,1549146391,56,56,-32.49,8.39
Kodiak,US,39.95,-94.76,1549144500,90,96,51.08,13.87
Codrington,AU,-28.95,153.24,1549144800,40,78,77.0,4.03
Komsomolskiy,RU,67.55,63.78,1549145793,0,0,-38.16,6.04
Bemidji,US,47.48,-94.89,1549145700,1,69,24.8,4.7
Hasaki,JP,35.73,140.83,1549144800,20,100,32.0,4.7
Necochea,AR,-38.55,-58.74,1549146395,0,80,63.64,13.65
Alausi,EC,-2.2,-78.83,1549146396,64,98,54.77,2.68
Wuwei,CN,37.93,102.64,1549146397,0,55,-9.9,2.35
New Norfolk,AU,-42.78,147.06,1549144800,0,64,71.6,4.7
Ayr,GB,55.46,-4.63,1549144200,20,86,26.6,4.7
Chuy,UY,-33.69,-53.46,1549145852,48,83,71.38,18.68
Bandarbeyla,SO,9.49,50.81,1549146399,92,100,76.37,15.99
Kiama,AU,-34.67,150.86,1549144800,76,69,78.8,6.93
Zhigansk,RU,66.77,123.37,1549146076,20,75,-37.35,6.6
Korhogo,CI,9.46,-5.63,1549146401,76,90,74.71,2.46
Punta Arenas,CL,-53.16,-70.91,1549144800,40,55,64.4,28.86
Kharovsk,RU,59.95,40.21,1549146403,80,89,15.85,5.48
Awbari,LY,26.59,12.77,1549145915,0,32,55.85,8.61
Alto Araguaia,BR,-17.32,-53.22,1549146404,44,45,84.61,5.82
Adrar,DZ,27.87,-0.29,1549141200,0,19,60.8,16.11
Price,US,39.6,-110.81,1549144380,90,54,35.96,5.82
Faanui,PF,-16.48,-151.75,1549146406,64,100,82.59,15.99
Chara,GR,39.42,22.43,1549144200,75,93,44.6,2.57
Tiznit,MA,29.7,-9.73,1549146407,0,82,55.0,0.89
Arraial do Cabo,BR,-22.97,-42.02,1549141200,20,61,82.4,13.87
Kajaani,FI,64.22,27.73,1549144200,0,76,-7.61,4.7
Mayo,CA,63.59,-135.9,1549141200,5,65,-36.41,3.13
Nador,MA,35.17,-2.93,1549144800,20,50,55.4,19.46
Bethel,US,60.79,-161.76,1549145400,90,100,35.06,21.92
Saint-Philippe,CA,45.36,-73.48,1549144800,90,85,19.4,11.41
Vaini,IN,15.34,74.49,1549146411,32,75,65.08,2.57
Mar del Plata,AR,-46.43,-67.52,1549146391,0,31,79.3,12.41
Leningradskiy,RU,69.38,178.42,1549146036,88,96,-2.38,3.36
Teya,MX,21.05,-89.07,1549143600,75,48,87.8,14.99
Kapaa,US,22.08,-159.32,1549144560,75,71,78.98,17.22
Haines Junction,CA,60.75,-137.51,1549145886,0,56,-21.73,2.35
Hobart,AU,-42.88,147.33,1549144800,0,64,71.6,4.7
Georgetown,GY,6.8,-58.16,1549144800,75,88,78.8,4.7
East London,ZA,-33.02,27.91,1549146414,100,96,75.02,23.82
Hamilton,CA,43.26,-79.87,1549144800,90,100,35.6,17.22
Areosa,PT,41.72,-8.86,1549144800,20,86,42.8,2.24
Thompson,CA,55.74,-97.86,1549141200,90,61,-20.21,4.7
